,Shorthand,DOI,Authors,Journal,Title,Date,bioRxiv DOI,Reported cells total,Organism,Tissue,Technique,Data location,Panel size,Measurement,Cell source,Disease,Contrasts,Developmental stage,Number of reported cell types or clusters,Cell clustering,Pseudotime,RNA Velocity,PCA,tSNE,H5AD location,Isolation,BC --> Cell ID _OR_ BC --> Cluster ID,Number individuals,date,year,month,day,cells_per_donor
482,Korsunsky et al bioRxiv,10.1101/2021.01.11.426253,"Ilya Korsunsky, Kevin Wei, Mathilde Pohin, Edy Y. Kim, Francesca Barone, Joyce B. Kang, Matthias Friedrich, Jason Turner, Saba Nayar, Benjamin A. Fisher, Karim Raza, Jennifer L. Marshall, Adam P. Croft, Lynette M. Sholl, Marina Vivero, Ivan O. Rosas, Simon J. Bowman, Mark Coles, Andreas P. Frei, Kara Lassen, Andrew Filer, Fiona Powrie, Christopher D. Buckley, Michael B. Brenner, Soumya Raychaudhuri",bioRxiv,"Cross-tissue, single-cell stromal atlas identifies shared pathological fibroblast phenotypes in four chronic inflammatory diseases",20210114,10.1101/2021.01.11.426253,221296.0,Human,"Intestine, Lung, Salivary gland, Synovium",Chromium,,,RNA-seq,Fibroblasts,Primary Sjogren's Syndrome,"Inflamed vs Non-inflamed, pSS vs nSSs",,17,Yes,,,,,,,,74.0,2021-01-14,2021,1,14,2990.4864864864867
483,Kanke et al bioRxiv,10.1101/2021.01.13.426602,"Matt Kanke, Meaghan M. Kennedy, Sean Connelly, Matthew Schaner, Micheal T. Shanahan, Elizabeth A. Wolber, Caroline Beasley, Grace Lian, Animesh Jain, Millie D. Long, Edward L. Barnes, Hans H. Herfarth, Kim L. Isaacs, Jonathan J. Hansen, Muneera Kapadia, José Gaston Guillem, Terrence S. Furey, Shehzad Z. Sheikh, Praveen Sethupathy",bioRxiv,Single-cell analysis of colonic epithelium reveals unexpected shifts in cellular composition and molecular phenotype in treatment-naiïve adult Crohn′s disease,20210116,10.1101/2021.01.13.426602,13039.0,Human,Mucosal tissue,Chromium,,,RNA-seq,,Crohn's disease,CD vs Healthy,,,,,,,,,,,7.0,2021-01-16,2021,1,16,1862.7142857142858
484,Park et al bioRxiv,10.1101/2021.01.13.426485,"James H. Park, Abdullah H Feroze, Samuel N Emerson, Anca B Mihalas, C. Dirk Keene, Patrick J. Cimino, Adrian Lopez Garcia de Lomana, Kavya Kannan, Wei-Ju Wu, Serdar Turkarslan, Nitin Baliga, Anoop Patel",bioRxiv,A single-cell based precision medicine approach using glioblastoma patient-specific models,20210116,10.1101/2021.01.13.426485,17420.0,Human,,Chromium,,,RNA-seq,,,,,,,,,,,,,,1.0,2021-01-16,2021,1,16,17420.0
485,McGinnis et al BMCBiology,10.1186/s12915-020-00941-x,"Christopher S. McGinnis, David A. Siegel, Guorui Xie, George Hartoularos, Mars Stone, Chun J. Ye, Zev J. Gartner, Nadia R. Roan, Sulggi A. Lee",BMC Biol,No detectable alloreactive transcriptional responses under standard sample preparation conditions during donor-multiplexed single-cell RNA sequencing of peripheral blood mononuclear cells,20210120,10.1101/2020.02.12.946509,,Human,Blood,MULTI-seq & SCMK,GSE161329,,RNA-seq,PBMCs,,,,,,,,,,,,,8.0,2021-01-20,2021,1,20,
486,Wauters et al CResearch,10.1038/s41422-020-00455-9,"Els Wauters, CONTAGIOUS collaborators, Pierre Van Mol, Abhishek Dinkarnath Garg, Sander Jansen, Yannick Van Herck, Lore Vanderbeke, Ayse Bassez, Bram Boeckx, Bert Malengier-Devlies, Anna Timmerman, Thomas Van Brussel, Tina Van Buyten, Rogier Schepers, Elisabeth Heylen, Dieter Dauwe, Christophe Dooms, Jan Gunst, Greet Hermans, Philippe Meersseman, Dries Testelmans, Jonas Yserbyt, Sabine Tejpar, Walter De Wever, Patrick Matthys, Johan Neyts, Joost Wauters, Junbin Qian, Diether Lambrechts",Cell Res,Discriminating mild from critical COVID-19 by innate and adaptive immune single-cell profiling of bronchoalveolar lavages,20210121,,65166.0,Human,Lung,Chromium,http://covid19.lambrechtslab.org/,,RNA-seq,BALF,,,,,,,,,,,,,31.0,2021-01-21,2021,1,21,2102.1290322580644
487,Reynolds et al Science,10.1126/science.aba6500,"Gary Reynolds, Peter Vegh, James Fletcher, Elizabeth F. M. Poyner, Emily Stephenson, Issac Goh, Rachel A. Botting, Ni Huang, Bayanne Olabi, Anna Dubois, David Dixon, Kile Green, Daniel Maunder, Justin Engelbert, Mirjana Efremova, Krzysztof Polański, Laura Jardine, Claire Jones, Thomas Ness, Dave Horsfall, Jim McGrath, Christopher Carey, Dorin-Mirel Popescu, Simone Webb, Xiao-nong Wang, Ben Sayer, Jong-Eun Park, Victor A. Negri, Daria Belokhvostova, Magnus D. Lynch, David McDonald, Andrew Filby, Tzachi Hagai, Kerstin B. Meyer, Akhtar Husain, Jonathan Coxhead, Roser Vento-Tormo, Sam Behjati, Steven Lisgo, Alexandra-Chloé Villani, Jaume Bacardit, Philip H. Jones, Edel A. O’Toole, Graham S. Ogg, Neil Rajan, Nick J. Reynolds, Sarah A. Teichmann, Fiona M. Watt, Muzlifah Haniffa",Science,Developmental cell programs are co-opted in inflammatory skin disease,20210121,,,Human,Skin,,https://zenodo.org/record/4310074#.X_YHnen7Ryo,,,,,,,,,,,,,,,,19.0,2021-01-21,2021,1,21,
488,Kanev et al NCommunications,10.1038/s41467-020-20751-7,"Kristiyan Kanev, Patrick Roelli, Ming Wu, Christine Wurmser, Mauro Delorenzi, Michael W. Pfaffl, Dietmar Zehn",Nat Commun,Tailoring the resolution of single-cell RNA sequencing for primary cytotoxic T cells,20210125,,2102.0,"Human, Mouse",Blood,tDrop-seq & tSCRB-seq,GSE163089,,RNA-seq,,,,6 week old,5,Yes,No,No,Yes,Yes,,,,,2021-01-25,2021,1,25,
489,Jerby-Arnon et al NMedicine,10.1038/s41591-020-01212-6,"Livnat Jerby-Arnon, Cyril Neftel, Marni E. Shore, Hannah R. Weisman, Nathan D. Mathewson, Matthew J. McBride, Brian Haas, Benjamin Izar, Angela Volorio, Gaylor Boulay, Luisa Cironi, Alyssa R. Richman, Liliane C. Broye, Joseph M. Gurski, Christina C. Luo, Ravindra Mylvaganam, Lan Nguyen, Shaolin Mei, Johannes C. Melms, Christophe Georgescu, Ofir Cohen, Jorge E. Buendia-Buendia, Asa Segerstolpe, Malika Sud, Michael S. Cuoco, Danny Labes, Simon Gritsch, Daniel R. Zollinger, Nicole Ortogero, Joseph M. Beechem, G. Petur Nielsen, Ivan Chebib, Tu Nguyen-Ngoc, Michael Montemurro, Gregory M. Cote, Edwin Choy, Igor Letovanec, Stéphane Cherix, Nikhil Wagle, Peter K. Sorger, Alex B. Haynes, John T. Mullen, Ivan Stamenkovic, Miguel N. Rivera, Cigall Kadoch, Kai W. Wucherpfennig, Orit Rozenblatt-Rosen, Mario L. Suvà, Nicolò Riggi, Aviv Regev",Nat Med,Opposing immune and genetic mechanisms shape oncogenic programs in synovial sarcoma,20210125,,16872.0,Human,Tumor,Chromium & Smart-seq2,GSE131309,,,,,,,,,,,,,,,,12.0,2021-01-25,2021,1,25,1406.0
490,Borcherding et al CBiology,10.1038/s42003-020-01625-6,"Nicholas Borcherding, Ajaykumar Vishwakarma, Andrew P. Voigt, Andrew Bellizzi, Jacob Kaplan, Kenneth Nepple, Aliasger K. Salem, Russell W. Jenkins, Yousef Zakharia, Weizhou Zhang",Commun Biol,Mapping the immune environment in clear cell renal carcinoma by single-cell genomics,20210127,,37055.0,Human,"Blood, Tumor",Chromium,GSE121638,,RNA-seq,,,TCR,,,,,,,,,,,3.0,2021-01-27,2021,1,27,12351.666666666666
491,Petrus-Reurer et al bioRxiv,10.1101/2021.01.31.429014,"Sandra Petrus-Reurer, Alex R. Lederer, Laura Baqué-Vidal, Iyadh Douagi, Belinda Pannagel, Monica Aronsson, Hammurabi Bartuma, Magdalena Wagner, Helder André, Erik Sundström, Aparna Bhaduri, Arnold Kriegstein, Anders Kvanta, Gioele La Manno, Fredrik Lanner",bioRxiv,Molecular profiling of retinal pigment epithelial cell differentiation for therapeutic use,20210201,10.1101/2021.01.31.429014,25718.0,"Human, Rabbit","Culture, Retina",Chromium,,,RNA-seq,,,,,,,,,,,,,,,2021-02-01,2021,2,1,
492,Liu et al NCommunications,10.1038/s41467-021-21043-4,"Yang Liu, Shuai He, Xi-Liang Wang, Wan Peng, Qiu-Yan Chen, Dong-Mei Chi, Jie-Rong Chen, Bo-Wei Han, Guo-Wang Lin, Yi-Qi Li, Qian-Yu Wang, Rou-Jun Peng, Pan-Pan Wei, Xiang Guo, Bo Li, Xiaojun Xia, Hai-Qiang Mai, Xue-Da Hu, Zemin Zhang, Yi-Xin Zeng, Jin-Xin Bei",Nat Commun,Tumour heterogeneity and intercellular networks of nasopharyngeal carcinoma at single cell resolution,20210202,,176447.0,Human,"Blood, Tumor",Chromium,GSE162025,,RNA-seq,,,TCR,,,,,,,,,,,10.0,2021-02-02,2021,2,2,17644.7
493,Hong et al FImmunology,10.3389/fimmu.2020.594658,"Xiaoping Hong, Shuhui Meng, Donge Tang, Tingting Wang, Liping Ding, Haiyan Yu, Heng Li, Dongzhou Liu, Yong Dai, Min Yang",Front. Immunol.,Single-Cell RNA Sequencing Reveals the Expansion of Cytotoxic CD4+ T Lymphocytes and a Landscape of Immune Cells in Primary Sjögren’s Syndrome,20210202,,,Human,,,,,,,,,,,,,,,,,,,10.0,2021-02-02,2021,2,2,
494,Abedini et al JASN,10.1681/ASN.2020050757,"Amin Abedini, Yuan O. Zhu, Shatakshee Chatterjee, Gabor Halasz, Kishor Devalaraja-Narashimha, Rojesh Shrestha, Michael S. Balzer, Jihwan Park, Tong Zhou, Ziyuan Ma, Katie Marie Sullivan, Hailong Hu, Xin Sheng, Hongbo Liu, Yi Wei, Carine M. Boustany-Kari, Uptal Patel, Salem Almaani, Matthew Palmer, Raymond Townsend, Shira Blady, Jonathan Hogan, Lori Morton, Katalin Susztak, The TRIDENT Study Investigators,*",JASN,Urinary Single-Cell Profiling Captures the Cellular Diversity of the Kidney,20210202,,23082.0,Human,Urine,Chromium,GSE157640,,RNA-seq,,,,,,,,,,,,,,5.0,2021-02-02,2021,2,2,4616.4
495,Cheng et al Cell,10.1016/j.cell.2021.01.010,"Sijin Cheng, Ziyi Li, Ranran Gao, Baocai Xing, Yunong Gao, Yu Yang, Shishang Qin, Lei Zhang, Hanqiang Ouyang, Peng Du, Liang Jiang, Bin Zhang, Yue Yang, Xiliang Wang, Xianwen Ren, Jin-Xin Bei, Xueda Hu, Zhaode Bu, Jiafu Ji, Zemin Zhang",Cell,A pan-cancer single-cell transcriptional atlas of tumor infiltrating myeloid cells,20210205,,138161.0,Human,Tumor,Chromium,GSE154763,,RNA-seq,Myeloid cells,,Tumor vs Neighboring tissue,,11,Yes,Yes,No,Yes,No,,,,48.0,2021-02-05,2021,2,5,2878.3541666666665
496,Ren et al Cell,10.1016/j.cell.2021.01.053,"Xianwen Ren, Wen Wen, Xiaoying Fan, Wenhong Hou, Bin Su, Pengfei Cai, Jiesheng Li, Yang Liu, Fei Tang, Fan Zhang, Yu Yang, Jiangping He, Wenji Ma, Jingjing He, Pingping Wang, Qiqi Cao, Fangjin Chen, Yuqing Chen, Xuelian Cheng, Guohong Deng, Xilong Deng, Wenyu Ding, Yingmei Feng, Rui Gan, Chuang Guo, Weiqiang Guo, Shuai He, Chen Jiang, Juanran Liang, Yi-min Li, Jun Lin, Yun Ling, Haofei Liu, Jianwei Liu, Nianping Liu, Shu-Qiang Liu, Meng Luo, Qiang Ma, Qibing Song, Wujianan Sun, GaoXiang Wang, Feng Wang, Ying Wang, Xiaofeng Wen, Qian Wu, Gang Xu, Xiaowei Xie, Xinxin Xiong, Xudong Xing, Hao Xu, Chonghai Yin, Dongdong Yu, Kezhuo Yu, Jin Yuan, Biao Zhang, Peipei Zhang, Tong Zhang, Jincun Zhao, Peidong Zhao, Jianfeng Zhou, Wei Zhou, Sujuan Zhong, Xiaosong Zhong, Shuye Zhang, Lin Zhu, Ping Zhu, Bin Zou, Jiahua Zou, Zengtao Zuo, Fan Bai, Xi Huang, Penghui Zhou, Qinghua Jiang, Zhiwei Huang, Jin-Xin Bei, Lai Wei, Xiu-Wu Bian, Xindong Liu, Tao Cheng, Xiangpan Li, Pingsen Zhao, Fu-Sheng Wang, Hongyang Wang, Bing Su, Zheng Zhang, Kun Qu, Xiaoqun Wang, Jiekai Chen, Ronghua Jin, Zemin Zhang",Cell,COVID-19 immune features revealed by a large-scale single cell transcriptome atlas,20210205,,1462702.0,Human,"Airways, Blood",Chromium,GSE158055,,RNA-seq,"PBMC, BALF, Sputum, PFMC",COVID-19,"COVID-19 severity, Age, Sex, City, Comorbidities",,,,,,,,https://storage.googleapis.com/h5ad/10.1016-j.cell.2021.01.053/GSE158055_covid19_meta.h5ad,,,196.0,2021-02-05,2021,2,5,7462.765306122449
497,Vallejo et al iScience,10.1016/j.isci.2021.102147,"Andres F. Vallejo, James Davies, Amit Grover, Ching-Hsuan Tsai, Robert Jepras, Marta E. Polak, Jonathan West",iScience,Resolving cellular systems by ultra-sensitive and economical single-cell transcriptome filtering,20210207,10.1101/800631,,Human,Blood,C-Drop-seq,,127,RNA-seq,PBMCs,,,,,,,,,,,,,3.0,2021-02-07,2021,2,7,
498,Rabilloud et al NCommunications,10.1038/s41467-021-21168-6,"Tracy Rabilloud, Delphine Potier, Saran Pankaew, Mathis Nozais, Marie Loosveld, Dominique Payet-Bornet",Nat Commun,Single-cell profiling identifies pre-existing CD19-negative subclones in a B-ALL patient with CD19-negative relapse after CAR-T therapy,20210208,,7332.0,Human,Bone marrow,Chromium,GSE153697,,RNA-seq,,,,,,,,,,,https://storage.googleapis.com/h5ad/10.1038-s41467-021-21168-6/GSE153697.h5ad,,,1.0,2021-02-08,2021,2,8,7332.0
499,Maynard et al NNeuroscience,10.1038/s41593-020-00787-0,"Kristen R. Maynard, Leonardo Collado-Torres, Lukas M. Weber, Cedric Uytingco, Brianna K. Barry, Stephen R. Williams, Joseph L. Catallini, Matthew N. Tran, Zachary Besich, Madhavi Tippani, Jennifer Chew, Yifeng Yin, Joel E. Kleinman, Thomas M. Hyde, Nikhil Rao, Stephanie C. Hicks, Keri Martinowich, Andrew E. Jaffe",Nat Neurosci,Transcriptome-scale spatial gene expression in the human dorsolateral prefrontal cortex,20210209,,5231.0,Human,Brain,Chromium,,,RNA-seq,DLPFC,,,,7,Yes,No,No,Yes,Yes,,,,3.0,2021-02-09,2021,2,9,1743.6666666666667
500,Wang et al AScience,10.1002/advs.202004320,"Hua Wang, Peng Gong, Tong Chen, Shan Gao, Zhenfeng Wu, Xiaodong Wang, Jie Li, Sadie L. Marjani, José Costa, Sherman M. Weissman, Feng Qi, Xinghua Pan, Lin Liu",Adv. Sci.,Colorectal Cancer Stem Cell States Uncovered by Simultaneous Single‐Cell Analysis of Transcriptome and Telomeres,20210209,,813.0,Human,Tumor,Chromium & Smart-seq2,SRP113436,,RNA-seq,Cancer stem cells,Colorectal cancer,Telomere length,,,,,,,,,,,8.0,2021-02-09,2021,2,9,101.625
501,Liu et al Cell,10.1016/j.cell.2021.02.018,"Can Liu, Andrew J. Martins, William W. Lau, Nicholas Rachmaninoff, Jinguo Chen, Luisa Imberti, Darius Mostaghimi, Danielle L. Fink, Peter D. Burbelo, Kerry Dobbs, Ottavia M. Delmonte, Neha Bansal, Laura Failla, Alessandra Sottini, Eugenia Quiros-Roldan, Kyu Lee Han, Brian A. Sellers, Foo Cheung, Rachel Sparks, Tae-Wook Chun, Susan Moir, Michail S. Lionakis, Camillo Rossi, Helen C. Su, Douglas B. Kuhns, Jeffrey I. Cohen, Luigi D. Notarangelo, John S. Tsang, Michael S. Abers, Richard Apps, Marita Bosticardo, Pedro Milanez-Almeida, Matthew P. Mulè, Elana Shaw, Yu Zhang, Francesco Castelli, Maria Lorenza Muiesan, Gabriele Tomasoni, Francesco Scolari, Alessandra Tucci",Cell,Time-resolved systems immunology reveals a late juncture linked to fatal COVID-19,20210210,,400000.0,Human,Blood,Chromium,GSE161918,,RNA-seq,,COVID-19,"TCR, moderate vs severe vs critical",,,,,,,,,,,33.0,2021-02-10,2021,2,10,12121.212121212122
502,Mathewson et al Cell,10.1016/j.cell.2021.01.022,"Nathan D. Mathewson, Orr Ashenberg, Itay Tirosh, Simon Gritsch, Elizabeth M. Perez, Sascha Marx, Livnat Jerby-Arnon, Rony Chanoch-Myers, Toshiro Hara, Alyssa R. Richman, Yoshinaga Ito, Jason Pyrdol, Mirco Friedrich, Kathrin Schumann, Michael J. Poitras, Prafulla C. Gokhale, L. Nicolas Gonzalez Castro, Marni E. Shore, Christine M. Hebert, Brian Shaw, Heather L. Cahill, Matthew Drummond, Wubing Zhang, Olamide Olawoyin, Hiroaki Wakimoto, Orit Rozenblatt-Rosen, Priscilla K. Brastianos, X. Shirley Liu, Pamela S. Jones, Daniel P. Cahill, Matthew P. Frosch, David N. Louis, Gordon J. Freeman, Keith L. Ligon, Alexander Marson, E. Antonio Chiocca, David A. Reardon, Aviv Regev, Mario L. Suvà, Kai W. Wucherpfennig",Cell,Inhibitory CD161 receptor identified in glioma-infiltrating T cells by single-cell analysis,20210216,,,Human,Tumor,Chromium & Smart-seq2,GSE163108,,RNA-seq,,,TCR,,,,,,,,,,,31.0,2021-02-16,2021,2,16,
503,Zhu et al NMethods,10.1038/s41592-021-01060-3,"Chenxu Zhu, Yanxiao Zhang, Yang Eric Li, Jacinta Lucero, M. Margarita Behrens, Bing Ren",Nat Methods,Joint profiling of histone modifications and transcriptome in single cells from mouse brain,20210217,,100.0,"Human, Mouse","Brain, Culture",Paired-tag,GSE152020,,RNA-seq,,,Histone modifications,,,,,,,,,,,,2021-02-17,2021,2,17,
504,Bautista et al NCommunications,10.1038/s41467-021-21346-6,"Jhoanne L. Bautista, Nathan T. Cramer, Corey N. Miller, Jessica Chavez, David I. Berrios, Lauren E. Byrnes, Joe Germino, Vasilis Ntranos, Julie B. Sneddon, Trevor D. Burt, James M. Gardner, Chun J. Ye, Mark S. Anderson, Audrey V. Parent",Nat Commun,Single-cell transcriptional profiling of human thymic stroma uncovers novel cellular heterogeneity in the thymic medulla,20210219,,68008.0,Human,Thymus,Chromium,GSE147520,,RNA-seq,CD45- Stromal cells,,"Fetal, Postnatal, Adult",,12,Yes,,,,,,,,7.0,2021-02-19,2021,2,19,9715.42857142857
505,Gerrits et al ANeuropathologica,10.1007/s00401-021-02263-w,"Emma Gerrits, Nieske Brouwer, Susanne M. Kooistra, Maya E. Woodbury, Yannick Vermeiren, Mirjam Lambourne, Jan Mulder, Markus Kummer, Thomas Möller, Knut Biber, Wilfred F. A. den Dunnen, Peter P. De Deyn, Bart J. L. Eggen, Erik W. G. M. Boddeke",Acta Neuropathol,Distinct amyloid-β and tau-associated microglia profiles in Alzheimer’s disease,20210220,,482472.0,Human,Brain,Chromium,GSE148822,,RNA-seq,Microglia,Alzheimer's disease,AD vs Healthy,,24,Yes,Yes,No,Yes,No,,,,18.0,2021-02-20,2021,2,20,26804.0
506,Velten et al NCommunications,10.1038/s41467-021-21650-1,"Lars Velten, Benjamin A. Story, Pablo Hernández-Malmierca, Simon Raffel, Daniel R. Leonce, Jennifer Milbank, Malte Paulsen, Aykut Demir, Chelsea Szu-Tu, Robert Frömel, Christoph Lutz, Daniel Nowak, Johann-Christoph Jann, Caroline Pabst, Tobias Boch, Wolf-Karsten Hofmann, Carsten Müller-Tidow, Andreas Trumpp, Simon Haas, Lars M. Steinmetz",Nat Commun,Identification of leukemic and pre-leukemic stem cells by clonal tracking from single-cell transcriptomics,20210301,,22414.0,Human,"Bone marrow, Culture",Muta-seq & Smart-seq2,https://doi.org/10.6084/m9.figshare.12382685.v1,,RNA-seq,,Leukemia,Healthy vs Leukemia,,14,Yes,No,No,No,No,,,,5.0,2021-03-01,2021,3,1,4482.8
507,Wang et al GPB,10.1016/j.gpb.2020.02.005,"Xiliang Wang, Yao He, Qiming Zhang, Xianwen Ren, Zemin Zhang","Genomics, Proteomics & Bioinformatics",Direct Comparative Analyses of 10X Genomics Chromium and Smart-seq2,20210302,10.1101/615013,9272.0,Human,,Chromium & Smart-seq2,,,RNA-seq,CD45+ cells,,,,,,,,,,,,,2.0,2021-03-02,2021,3,2,4636.0
508,Fu et al CReports,10.1016/j.celrep.2021.108788,"Yuanyuan Fu, Ming Yang, Hongmin Yu, Yicheng Wang, Xinglong Wu, Jun Yong, Yunuo Mao, Yueli Cui, Xiaoying Fan, Lu Wen, Jie Qiao, Fuchou Tang",Cell Reports,Heterogeneity of glial progenitor cells during the neurogenesis-to-gliogenesis switch in the developing human cerebral cortex,20210302,,3355.0,Human,Brain,,,,RNA-seq,"Frontal cortex, neural progenitors",,,"GW 21,23,24,25",,,,,,,,,,2.0,2021-03-02,2021,3,2,1677.5
509,Pauken et al JEM,10.1084/jem.20200920,"Kristen E. Pauken, Osmaan Shahid, Kaitlyn A. Lagattuta, Kelly M. Mahuron, Jacob M. Luber, Margaret M. Lowe, Linglin Huang, Conor Delaney, Jaclyn M. Long, Megan E. Fung, Kathleen Newcomer, Katy K. Tsai, Melissa Chow, Samantha Guinn, Juhi R. Kuchroo, Kelly P. Burke, Jason M. Schenkel, Michael D. Rosenblum, Adil I. Daud, Arlene H. Sharpe, Meromit Singer",Journal of Experimental Medicine,Single-cell analyses identify circulating anti-tumor CD8 T cells and markers for their enrichment,20210302,10.1101/2020.09.30.294959,49000.0,"Human, Mouse","Blood, Tumor",CITE-seq & Chromium,GSE159252,,RNA-seq,,Metastatic melanoma,,,30,Yes,No,No,Yes,No,,,,2.0,2021-03-02,2021,3,2,24500.0
510,Aissa et al NCommunications,10.1038/s41467-021-21884-z,"Alexandre F. Aissa, Abul B. M. M. K. Islam, Majd M. Ariss, Cammille C. Go, Alexandra E. Rader, Ryan D. Conrardy, Alexa M. Gajda, Carlota Rubio-Perez, Klara Valyi-Nagy, Mary Pasquinelli, Lawrence E. Feldman, Stefan J. Green, Nuria Lopez-Bigas, Maxim V. Frolov, Elizaveta V. Benevolenskaya",Nat Commun,Single-cell transcriptional changes associated with drug tolerance and response to combination therapies in cancer,20210312,,,Human,,Chromium & Drop-seq,GSE149383,,RNA-seq,,,,,,,,,,,,,,,2021-03-12,2021,3,12,
511,Eze et al NNeuroscience,10.1038/s41593-020-00794-1,"Ugomma C. Eze, Aparna Bhaduri, Maximilian Haeussler, Tomasz J. Nowakowski, Arnold R. Kriegstein",Nat Neurosci,Single-cell atlas of early human brain development highlights heterogeneity of human neuroepithelial cells and early radial glia,20210315,,289000.0,Human,Brain,Chromium,https://assets.nemoarchive.org/dat-0rsydy7,,RNA-seq,"Cortex, ganglionic thalamus, hypothalamus, midbrain, hindbrain, cerebellum, retina, spinal cord, olfactory placode",,"CS12, CS13, CS14, CS15, CS19, CS20, CS22",Gestational weeks 6 - 10,6,Yes,No,Yes,Yes,No,,,,10.0,2021-03-15,2021,3,15,28900.0
512,Lawlor et al FImmunology,10.3389/fimmu.2021.636720,"Nathan Lawlor, Djamel Nehar-Belaid, Jessica D.S. Grassmann, Marlon Stoeckius, Peter Smibert, Michael L. Stitzel, Virginia Pascual, Jacques Banchereau, Adam Williams, Duygu Ucar",Front. Immunol.,Single Cell Analysis of Blood Mononuclear Cells Stimulated Through Either LPS or Anti-CD3 and Anti-CD28,20210317,10.1101/2020.12.23.424147,195480.0,Human,Blood,CITE-seq,PRJEB40448,,RNA-seq,,,,,,,Yes,,,,,,,10.0,2021-03-17,2021,3,17,19548.0
513,Bhat-Nakshatri et al CRM,10.1016/j.xcrm.2021.100219,"Poornima Bhat-Nakshatri, Hongyu Gao, Liu Sheng, Patrick C. McGuire, Xiaoling Xuei, Jun Wan, Yunlong Liu, Sandra K. Althouse, Austyn Colter, George Sandusky, Anna Maria Storniolo, Harikrishna Nakshatri",Cell Reports Medicine,A single-cell atlas of the healthy breast tissues reveals clinically relevant clusters of breast epithelial cells,20210319,,31696.0,Human,"Breast, Tumor",Chromium,GSE164898,,RNA-seq,,Breast cancer,,,23,,,,,,,,,11.0,2021-03-19,2021,3,19,2881.4545454545455
514,Williams et al bioRxiv,10.1101/2021.04.06.438702,"Drake Winslow Williams, Teresa Greenwell-Wild, Laurie Brenchley, Nicolas Dutzan, Andrew Overmiller, Andrew P Sawaya, Simone Webb, Daniel Martin, George Hajishengallis, Kimon Divaris, Maria Morasso, Muzlifah Haniffa, Niki M Moutsopoulos",bioRxiv,Single-cell atlas of human oral mucosa reveals a stromal-neutrophil axis regulating tissue immunity in health and inflammatory disease,20210407,10.1101/2021.04.06.438702,60000.0,Human,Oral mucosa,Chromium,GSE164241,,RNA-seq,,,,,34,Yes,,,,,,,,29.0,2021-04-07,2021,4,7,2068.9655172413795
515,Swanson et al eLife,10.7554/eLife.63632,"Elliott Swanson, Cara Lord, Julian Reading, Alexander T Heubeck, Palak C Genge, Zachary Thomson, Morgan DA Weiss, Xiao-jun Li, Adam K Savage, Richard R Green, Troy R Torgerson, Thomas F Bumol, Lucas T Graybuck, Peter J Skene",eLife,"Simultaneous trimodal single-cell measurement of transcripts, epitopes, and chromatin accessibility using TEA-seq",20210409,,,Human,Blood,TEA-seq,GSE158013,,RNA-seq,PBMCs,,,,,,,,,,,,,5.0,2021-04-09,2021,4,9,
516,Savage et al iScience,10.1016/j.isci.2021.102404,"Adam K. Savage, Miriam V. Gutschow, Tony Chiang, Kathy Henderson, Richard Green, Monica Chaudhari, Elliott Swanson, Alexander T. Heubeck, Nina Kondza, Kelli C. Burley, Palak C. Genge, Cara Lord, Tanja Smith, Zachary Thomson, Aldan Beaubien, Ed Johnson, Jeff Goldy, Hamid Bolouri, Jane H. Buckner, Paul Meijer, Ernest M. Coffey, Peter J. Skene, Troy R. Torgerson, Xiao-jun Li, Thomas F. Bumol",iScience,Multimodal analysis for human ex vivo studies shows extensive molecular changes from delays in blood processing,20210416,,460021.0,Human,Blood,Chromium,GSE156989,,RNA-seq,PBMCs,Systemic lupus erythematosus,SLE vs Healthy,,,,,,,,,,,10.0,2021-04-16,2021,4,16,46002.1
