,Shorthand,DOI,Number individuals,N_individulas sentence,chatgpt_sentence,Organism,Reported cells total,Tissue,Tissue_type,tissue_accessibility,Contrasts,excluded,Authors,Journal,Title,Publication date,bioRxiv DOI,Technique,Data location,Panel size,Measurement,Cell source,Disease,Developmental stage,Number of reported cell types or clusters,Cell clustering,Pseudotime,RNA Velocity,PCA,tSNE,H5AD location,Isolation,BC --> Cell ID _OR_ BC --> Cluster ID,DOI_oroginal,do_DOI_match,Shorthand_origina,do_shorthands_match,Number individuals original
940,Kalucka et al Cell,10.1016/j.cell.2020.01.015,,,,Mouse,"32,000","Artery, Brain, Colon, Heart, Intestine, Kidney, Liver, Lung, Muscle, Spleen, Testis",,,,,"Joanna Kalucka, Laura P.M.H. de Rooij, Jermaine Goveia, Katerina Rohlenova, Sébastien J. Dumas, Elda Meta, Nadine V. Conchinha, Federico Taverna, Laure-Anne Teuwen, Koen Veys, Melissa García-Caballero, Shawez Khan, Vincent Geldhof, Liliana Sokol, Rongyuan Chen, Lucas Treps, Mila Borri, Pauline de Zeeuw, Charlotte Dubois, Tobias K. Karakach, Kim D. Falkenberg, Magdalena Parys, Xiangke Yin, Stefan Vinckier, Yuxiang Du, Robert A. Fenton, Luc Schoonjans, Mieke Dewerchin, Guy Eelen, Bernard Thienpont, Lin Lin, Lars Bolund, Xuri Li, Yonglun Luo, Peter Carmeliet",Cell,Single-Cell Transcriptome Atlas of Murine Endothelial Cells,20200213,,Chromium,,,RNA-seq,Endothelial cells,,,78,,,,,,,,,10.1016/j.cell.2020.01.015,1,Kalucka et al Cell,1,
941,Rao et al CSHMCS,10.1101/mcs.a004978,1,,"The study analyzed single-cell RNA sequencing data from one patient. 

Source sentence: ""Here we tested whether comparative single-cell RNA sequencing (scRNA-seq) of a primary small intestinalneuroendocrine tumor to a matched liver metastasis could guide the treatment of a patient ’s metastatic disease.""",Human,,"Intestine, Liver, Tumor",Several,3,,,"Manisha Rao, Ki Oh, Richard Moffitt, Patricia Thompson, Jinyu Li, Jingxuan Liu, Aaron Sasson, George Georgakis, Joseph Kim, Minsig Choi, Scott Powers",Cold Spring Harb Mol Case Stud,Comparative single-cell RNA sequencing (scRNA-seq) reveals liver metastasis–specific targets in a patient with small intestinal neuroendocrine cancer,14/02/2020,,Chromium,,,RNA-seq,,,,,,,,,,,,,10.1101/mcs.a004978,1,Rao et al CSHMCS,1,
942,McGinnis et al bioRxiv,10.1101/2020.02.12.946509,,,,,,,,,,,"Christopher S McGinnis, David A Siegel, Guorie Xie, Mars Stone, Zev J Gartner, Nadia R Roan, Sulggi A Lee",bioRxiv,No detectable alloreactive transcriptional responses during donor-multiplexed single-cell RNA sequencing of peripheral blood mononuclear cells,20200214,10.1101/2020.02.12.946509,,,,RNA-seq,,,,,,,,,,,,,10.1101/2020.02.12.946509,1,McGinnis et al bioRxiv,1,
943,Liu et al bioRxiv,10.1101/2020.02.13.947549,,,,Arabidopsis ,"12,844",Cotyledons,,,,,"Zhixin Liu, Yaping Zhou, Jinggong Guo, Jiaoai Li, Zixia Tian, Zhinan Zhu, Jiajing Wang, Rui Wu, Bo Zhang, Yongjian Hu, Yijing Sun, Yan Shangguan, Weiqiang Li, Tao Li, Yunhe Hu, Chenxi Guo, Jean-David Rochaix, Yuchen Miao, Xuwu Sun",bioRxiv,Global Dynamic Molecular Profiles of Stomatal Lineage Cell Development by Single-Cell RNA Sequencing,20200214,10.1101/2020.02.13.947549,,,,RNA-seq,,,,,,,,,,,,,10.1101/2020.02.13.947549,1,Liu et al bioRxiv,1,
944,Xue et al eLife,10.7554/eLife.54129,,,,Toxoplasma,"5,400",,,,,,"Yuan Xue, Terence C Theisen, Suchita Rastogi, Abel Ferrel, Stephen R Quake, John C Boothroyd",eLife,A single-parasite transcriptional atlas of Toxoplasma gondii reveals novel control of antigen expression,20200217,10.1101/656165,,,,RNA-seq,,,,,,,,,,,,,10.7554/eLife.54129,1,Xue et al eLife,1,
945,Derecka et al NImmunology,10.1038/s41590-020-0595-7,,,,Mouse,,Bone marrow,,,,,"Marta Derecka, Josip Stefan Herman, Pierre Cauchy, Senthilkumar Ramamoorthy, Ekaterina Lupar, Dominic Grün, Rudolf Grosschedl",Nat Immunol,EBF1-deficient bone marrow stroma elicits persistent changes in HSC potential,20200217,,CEL-seq2,GSE128743,,RNA-seq,,,,,,,,,,,,,10.1038/s41590-020-0595-7,1,Derecka et al NImmunology,1,
946,James et al NImmunology,10.1038/s41590-020-0602-z,5,We acquired tissue biopsies from five deceased transplant donors (Methods and Supplementary Table 1).,,Human,"41,650",Colon,Digestive system,3,,,"Kylie R. James, Tomas Gomes, Rasa Elmentaite, Nitin Kumar, Emily L. Gulliver, Hamish W. King, Mark D. Stares, Bethany R. Bareham, John R. Ferdinand, Velislava N. Petrova, Krzysztof Polański, Samuel C. Forster, Lorna B. Jarvis, Ondrej Suchanek, Sarah Howlett, Louisa K. James, Joanne L. Jones, Kerstin B. Meyer, Menna R. Clatworthy, Kourosh Saeb-Parsy, Trevor D. Lawley, Sarah A. Teichmann",Nat Immunol,Distinct microbial and immune niches of the human colon,17/02/2020,,Chromium & Smart-seq2,E-MTAB-8474,,RNA-seq,"Cecum, Transverse, Sigmoid",,,,,,,,,,,,10.1038/s41590-020-0602-z,1,James et al NImmunology,1,
947,Reyes et al NMedicine,10.1038/s41591-020-0752-4,65,,"Single-cell RNA sequencing data were analyzed for a total of 29 septic patients and 36 corresponding controls across three clinical cohorts, and the data from two secondary cohorts from a different hospital were also included.",Human,"126,351",Blood,Blood,1,,,"Miguel Reyes, Michael R. Filbin, Roby P. Bhattacharyya, Kianna Billman, Thomas Eisenhaure, Deborah T. Hung, Bruce D. Levy, Rebecca M. Baron, Paul C. Blainey, Marcia B. Goldberg, Nir Hacohen",Nat Med,An immune-cell signature of bacterial sepsis,17/02/2020,-,Chromium,SCP548,,RNA-seq,,,,16,Yes,Yes,No,Yes,Yes,,,SCP548,10.1038/s41591-020-0752-4,1,Reyes et al NMedicine,1,
948,Wen et al NNeuroscience,10.1038/s41593-020-0586-x,,,,Mouse,,Brain,,,,,"Shao’ang Wen, Danyi Ma, Meng Zhao, Lucheng Xie, Qingqin Wu, Lingfeng Gou, Chuanzhen Zhu, Yuqi Fan, Haifang Wang, Jun Yan",Nat Neurosci,Spatiotemporal single-cell analysis of gene expression in the mouse suprachiasmatic nucleus,20200217,,Chromium,,,RNA-seq,,,,,,,,,,,,,10.1038/s41593-020-0586-x,1,Wen et al NNeuroscience,1,
949,Durante et al NNeuroscience,10.1038/s41593-020-0587-9,7,,,Human,"28,726",Olfactory cleft,Brain,3,,,"Michael A. Durante, Stefan Kurtenbach, Zoukaa B. Sargi, J. William Harbour, Rhea Choi, Sarah Kurtenbach, Garrett M. Goss, Hiroaki Matsunami, Bradley J. Goldstein",Nat Neurosci,Single-cell analysis of olfactory neurogenesis and differentiation in adult humans,17/02/2020,,Chromium,GSE139522,,RNA-seq,Olfactory and respiratory epithelium,,,26,Yes,No,No,Yes,No,,,,10.1038/s41593-020-0587-9,1,Durante et al NNeuroscience,1,7
950,Stewart et al NCancer,10.1038/s43018-019-0020-z,1,"To determine whether CTC quality and number in patients with SCLC are sufficient to sequence directly, we collected blood from patient MDA-SC55 before platinum–etoposide treatment (diagnosis), at maximum response (responding) and following relapse (relapsed) ",,Human,712,Blood,Blood,1,,,"C. Allison Stewart, Carl M. Gay, Yuanxin Xi, Santhosh Sivajothi, V. Sivakamasundari, Junya Fujimoto, Mohan Bolisetty, Patrice M. Hartsfield, Veerakumar Balasubramaniyan, Milind D. Chalishazar, Cesar Moran, Neda Kalhor, John Stewart, Hai Tran, Stephen G. Swisher, Jack A. Roth, Jianjun Zhang, John de Groot, Bonnie Glisson, Trudy G. Oliver, John V. Heymach, Ignacio Wistuba, Paul Robson, Jing Wang, Lauren Averett Byers",Nat Cancer,Single-cell analyses reveal increased intratumoral heterogeneity after the onset of therapy resistance in small-cell lung cancer,17/02/2020,,Chromium,GSE138474,,RNA-seq,,,,,,,,,,,,,10.1038/s43018-019-0020-z,1,Stewart et al NCancer,1,
951,Jorstad et al CReports,10.1016/j.celrep.2020.01.075,,,,Mouse,,Eye,,,,,"Nikolas L. Jorstad, Matthew S. Wilken, Levi Todd, Connor Finkbeiner, Paul Nakamura, Nicholas Radulovich, Marcus J. Hooper, Alex Chitsazan, Brent A. Wilkerson, Fred Rieke, Thomas A. Reh",Cell Reports,STAT Signaling Modifies Ascl1 Chromatin Binding and Limits Neural Regeneration from Muller Glia in Adult Mouse Retina,20200218,,Chromium,,,RNA-seq,,,,,,,,,,,,,10.1016/j.celrep.2020.01.075,1,Jorstad et al CReports,1,
952,van den Brink et al Nature,10.1038/s41586-020-2024-3,,,,Mouse,"24,148","Culture, Organoid",,,,,"Susanne C. van den Brink, Anna Alemany, Vincent van Batenburg, Naomi Moris, Marloes Blotenburg, Judith Vivié, Peter Baillie-Johnson, Jennifer Nichols, Katharina F. Sonnen, Alfonso Martinez Arias, Alexander van Oudenaarden",Nature,Single-cell and spatial transcriptomics reveal somitogenesis in gastruloids,20200219,,Chromium,GSE123187,,RNA-seq,,,,,,,,,,,,,10.1038/s41586-020-2024-3,1,van den Brink et al Nature,1,
953,Sun et al SAdvances,10.1126/sciadv.aay5556,,,,Mouse,,Lung,,,,,"Shimin Sun, Weifeng Qin, Xiaolong Tang, Yuan Meng, Wenjing Hu, Shuju Zhang, Minxian Qian, Zuojun Liu, Xinyue Cao, Qiuxiang Pang, Bosheng Zhao, Zimei Wang, Zhongjun Zhou, Baohua Liu",Sci. Adv.,Vascular endothelium–targeted Sirt7 gene therapy rejuvenates blood vessels and extends life span in a Hutchinson-Gilford progeria model,20200220,,Chromium,,,RNA-seq,,,,,,,,,,,,,10.1126/sciadv.aay5556,1,Sun et al SAdvances,1,
954,Traniello et al SReports,10.1038/s41598-020-59808-4,,,,Honey bee,,Brain,,,,,"Ian M. Traniello, Syed Abbas Bukhari, Jessica Kevill, Amy Cash Ahmed, Adam R. Hamilton, Nicholas L. Naeger, Declan C. Schroeder, Gene E. Robinson",Sci Rep,Meta-analysis of honey bee neurogenomic response links Deformed wing virus type A to precocious behavioral maturation,20200220,,Chromium,,,RNA-seq,,,,,,,,,,,,,10.1038/s41598-020-59808-4,1,Traniello et al SReports,1,
955,Park et al Science,10.1126/science.aay3224,15,,,"Human, Mouse",,Thymus,Lymphoid system,3,,,"Jong-Eun Park, Rachel A. Botting, Cecilia Domínguez Conde, Dorin-Mirel Popescu, Marieke Lavaert, Daniel J. Kunz, Issac Goh, Emily Stephenson, Roberta Ragazzini, Elizabeth Tuck, Anna Wilbrey-Clark, Kenny Roberts, Veronika R. Kedlian, John R. Ferdinand, Xiaoling He, Simone Webb, Daniel Maunder, Niels Vandamme, Krishnaa T. Mahbubani, Krzysztof Polanski, Lira Mamanova, Liam Bolt, David Crossland, Fabrizio de Rita, Andrew Fuller, Andrew Filby, Gary Reynolds, David Dixon, Kourosh Saeb-Parsy, Steven Lisgo, Deborah Henderson, Roser Vento-Tormo, Omer A. Bayraktar, Roger A. Barker, Kerstin B. Meyer, Yvan Saeys, Paola Bonfanti, Sam Behjati, Menna R. Clatworthy, Tom Taghon, Muzlifah Haniffa, Sarah A. Teichmann",Science,A cell atlas of human thymic development defines T cell repertoire formation,21/02/2020,,Chromium,E-MTAB-8581,,RNA-seq,,,"7pcw, 17pcw, adult",15,Yes,Yes,No,Yes,No,,,,10.1126/science.aay3224,1,Park et al Science,1,15
956,McCarthy et al CSC,10.1016/j.stem.2020.01.008,,,,Mouse,,Intestine,,,,,"Neil McCarthy, Elisa Manieri, Elaine E. Storm, Assieh Saadatpour, Adrienne M. Luoma, Varun N. Kapoor, Shariq Madha, Liam T. Gaynor, Christian Cox, Shilpa Keerthivasan, Kai Wucherpfennig, Guo-Cheng Yuan, Frederic J. de Sauvage, Shannon J. Turley, Ramesh A. Shivdasani",Cell Stem Cell,Distinct Mesenchymal Cell Populations Generate the Essential Intestinal BMP Signaling Gradient,20200221,,Chromium,,,RNA-seq,,,,,,,,,,,,,10.1016/j.stem.2020.01.008,1,McCarthy et al CSC,1,
957,Murata et al CSC,10.1016/j.stem.2019.12.011,,,,Mouse,,Colon,,,,,"Kazutaka Murata, Unmesh Jadhav, Shariq Madha, Johan van Es, Justin Dean, Alessia Cavazza, Kai Wucherpfennig, Franziska Michor, Hans Clevers, Ramesh A. Shivdasani",Cell Stem Cell,Ascl2-Dependent Cell Dedifferentiation Drives Regeneration of Ablated Intestinal Stem Cells,20200221,,Chromium,,,RNA-seq,,,,,,,,,,,,,10.1016/j.stem.2019.12.011,1,Murata et al CSC,1,
958,Tomoiaga et al npjGM,10.1038/s41525-020-0117-4,6,,Single-cell RNA sequencing data was analyzed for six sperm donors in this study.,Human,"65,000",Sperm,Reproductive system,1,"Children vs Fathers, Autism vs Not",,"Delia Tomoiaga, Vanessa Aguiar-Pulido, Shristi Shrestha, Paul Feinstein, Shawn E. Levy, Christopher E. Mason, Jeffrey A. Rosenfeld",npj Genom. Med.,Single-cell sperm transcriptomes and variants from fathers of children with and without autism spectrum disorder,21/02/2020,,Chromium,EGAS00001004035,,RNA-seq,,,,,,,,,,,,,10.1038/s41525-020-0117-4,1,Tomoiaga et al npjGM,1,
959,Joshi et al JLB,10.1002/JLB.1HI0120-169R,,,,Mouse,,Bone marrow,,,,,"Hemant R. Joshi, Harry R. Hill, Zemin Zhou, Xiao He, Karl V. Voelkerding, Attila Kumánovics",J Leukoc Biol,Frontline Science: Cxxc5 expression alters cell cycle and myeloid differentiation of mouse hematopoietic stem and progenitor cells,20200221,,Chromium,,,RNA-seq,,,,,,,,,,,,,10.1002/JLB.1HI0120-169R,1,Joshi et al JLB,1,
960,Alshetaiwi et al SImmunology,10.1126/sciimmunol.aay6017,,,,Mouse,,Spleen,,,,,"Hamad Alshetaiwi, Nicholas Pervolarakis, Laura Lynn McIntyre, Dennis Ma, Quy Nguyen, Jan Akara Rath, Kevin Nee, Grace Hernandez, Katrina Evans, Leona Torosian, Anushka Silva, Craig Walsh, Kai Kessenbrock",Sci. Immunol.,Defining the emergence of myeloid-derived suppressor cells in breast cancer using single-cell transcriptomics,20200222,,Chromium,,,RNA-seq,,,,,,,,,,,,,10.1126/sciimmunol.aay6017,1,Alshetaiwi et al SImmunology,1,
961,Xu et al IJOS,10.1038/s41368-020-0074-x,4,,"The single-cell RNA sequencing data was analyzed for four oral tissues. (Source: ""Single cell RNA-seq analysis of oral tissues. Single cell RNA-seq was utilized for four oral tissues, and the data was analyzed to confirm the above results and assess the cell type-specific expression of ACE2."")",Human,"22,969",Tongue,Digestive system,3,,,"Hao Xu, Liang Zhong, Jiaxin Deng, Jiakuan Peng, Hongxia Dan, Xin Zeng, Taiwen Li, Qianming Chen",Int J Oral Sci,High expression of ACE2 receptor of 2019-nCoV on the epithelial cells of oral mucosa,24/02/2020,,Chromium,,,RNA-seq,,,,7,Yes,,,,,,,,10.1038/s41368-020-0074-x,1,Xu et al IJOS,1,
962,Hograbe et al NBT,10.1038/s41587-020-0430-6,,,,Human,,Culture,,,,,"Nathaniel J. Hogrebe, Punn Augsornworawat, Kristina G. Maxwell, Leonardo Velazco-Cruz, Jeffrey R. Millman",Nat Biotechnol,Targeting the cytoskeleton to direct pancreatic differentiation of human pluripotent stem cells,20200224,,Chromium,GSE137659,,RNA-seq,,,,,,,,,,,,,10.1038/s41587-020-0430-6,1,Hograbe et al NBT,1,
963,Kotliarov et al NMedicine,10.1038/s41591-020-0769-8,20,,,Human,"53,201",Blood,Blood,1,High vs Low influenza and yellow fever vaccine responders,,"Yuri Kotliarov, Rachel Sparks, Andrew J. Martins, Matthew P. Mulè, Yong Lu, Meghali Goswami, Lela Kardava, Romain Banchereau, Virginia Pascual, Angélique Biancotto, Jinguo Chen, Pamela L. Schwartzberg, Neha Bansal, Candace C. Liu, Foo Cheung, Susan Moir, John S. Tsang",Nat Med,Broad immune activation underlies shared set point signatures for vaccine responsiveness in healthy individuals and disease activity in patients with lupus,24/02/2020,-,CITE-seq,https://doi.org/10.35092/yhjc.c.4753772,,RNA-seq,PBMCs,Systemic lupus erythematosus,,10,Yes,No,No,Yes,Yes,https://storage.googleapis.com/h5ad/10.1038-s41591-020-0769-8/H1.h5ad,Nanodroplet dilution,https://doi.org/10.35092/yhjc.c.4753772,10.1038/s41591-020-0769-8,1,Kotliarov et al NMedicine,1,20
964,Johnson et al DCell,10.1016/j.devcel.2020.01.026,,,,Mouse,"38,000",Digit tip,,,,,"Gemma L. Johnson, Erick J. Masias, Jessica A. Lehoczky",Developmental Cell,Cellular Heterogeneity and Lineage Restriction during Mouse Digit Tip Regeneration at Single-Cell Resolution,20200224,10.1101/737023,Chromium,GSE143888,,RNA-seq,Regenerating digit tip cells,,6 week old,17,Yes,Yes,Yes,Yes,No,,Nanodroplet dilution,,10.1016/j.devcel.2020.01.026,1,Johnson et al DCell,1,
965,Gu et al EST,10.1021/acs.est.9b06386,,,,Zebrafish,,Intestine,,,,,"Weiqing Gu, Su Liu, Ling Chen, Yuxuan Liu, Cheng Gu, Hong-qiang Ren, Bing Wu",Environ. Sci. Technol.,Single-Cell RNA Sequencing Reveals Size-Dependent Effects of Polystyrene Microplastics on Immune and Secretory Cell Populations from Zebrafish Intestines,20200224,,Chromium,,,RNA-seq,,,,,,,,,,,,,10.1021/acs.est.9b06386,1,Gu et al EST,1,
966,Ge et al PNAS,10.1073/pnas.1901720117,,,,Mouse,,Skin,,,,,"Yejing Ge, Yuxuan Miao, Shiri Gur-Cohen, Nicholas Gomez, Hanseul Yang, Maria Nikolova, Lisa Polak, Yang Hu, Akanksha Verma, Olivier Elemento, James G. Krueger, Elaine Fuchs",Proc Natl Acad Sci USA,The aging skin microenvironment dictates stem cell behavior,20200225,,Chromium,,,RNA-seq,,,,,,,,,,,,,10.1073/pnas.1901720117,1,Ge et al PNAS,1,
967,Goel et al PNAS,10.1073/pnas.1916897117,1,"To investigate potential differences between mouse and human cells, we also performed an analogous single-cell RNA sequencing experiment on whole blood leukocytes isolated from a healthy human donor",,"Human, Mouse",,"Blood, Spleen",Several,3,"IFN-lambda, IFN-alpha, untreated",,"Rishi R. Goel, Xinghao Wang, Liam J. O’Neil, Shuichiro Nakabo, Kowser Hasneen, Sarthak Gupta, Gustaf Wigerblad, Luz P. Blanco, Jeffrey B. Kopp, Maria I. Morasso, Sergei V. Kotenko, Zu-Xi Yu, Carmelo Carmona-Rivera, Mariana J. Kaplan",Proc Natl Acad Sci USA,Interferon lambda promotes immune dysregulation and tissue inflammation in TLR7-induced lupus,25/02/2020,,Chromium,GSE142637,,RNA-seq,,Systemic lupus erythematosus,,,,,,,,,,,10.1073/pnas.1916897117,1,Goel et al PNAS,1,
968,Hu et al SReports,10.1038/s41598-020-59827-1,2,,"Single-cell RNA sequencing data was analyzed for two healthy individuals in this study. The sentence supporting this answer is ""Samples of blood were drawn and PMBCs were extracted prior to (pre-THC) and 70 minutes following (post-THC) a single 0.03 mg/kg intravenous dose of THC in two healthy individuals.""",Human,"15,973",Blood,Blood,1,,,"Ying Hu, Mohini Ranganathan, Chang Shu, Xiaoyu Liang, Suhas Ganesh, Awo Osafo-Addo, Chunhua Yan, Xinyu Zhang, Bradley E. Aouizerat, John H. Krystal, Deepak C. D’Souza, Ke Xu",Sci Rep,Single-cell Transcriptome Mapping Identifies Common and Cell-type Specific Genes Affected by Acute Delta9-tetrahydrocannabinol in Humans,26/02/2020,10.1101/638254,Chromium,GSE130228,,RNA-seq,PBMCs,,,21,Yes,,,,Yes,,,,10.1038/s41598-020-59827-1,1,Hu et al SReports,1,
969,Wu et al Nature,10.1038/s41586-020-2056-8,14,"We sequenced 330 million mRNA transcripts in 141,623 T cells from 14 treatment-naive patients across four different types of cancer",,Human,,Tumor,Tumor,3,TCR,,"Thomas D. Wu, Shravan Madireddi, Patricia E. de Almeida, Romain Banchereau, Ying-Jiun J. Chen, Avantika S. Chitre, Eugene Y. Chiang, Hina Iftikhar, William E. O’Gorman, Amelia Au-Yeung, Chikara Takahashi, Leonard D. Goldstein, Chungkee Poon, Shilpa Keerthivasan, Denise E. de Almeida Nagata, Xiangnan Du, Hyang-Mi Lee, Karl L. Banta, Sanjeev Mariathasan, Meghna Das Thakur, Mahrukh A. Huseni, Marcus Ballinger, Ivette Estay, Patrick Caplazi, Zora Modrusan, Lélia Delamarre, Ira Mellman, Richard Bourgon, Jane L. Grogan",Nature,Peripheral T cell expansion predicts tumour infiltration and clinical response,26/02/2020,,Chromium,GSE139555,,RNA-seq,,,,,,,,,,,,,10.1038/s41586-020-2056-8,1,Wu et al Nature,1,
970,Zhang et al PLOSPathology,10.1371/journal.ppat.1008334,,,,Mouse,,Lung,,,,,"Junsong Zhang, Jun Liu, Yaochang Yuan, Feng Huang, Rong Ma, Baohong Luo, Zhihui Xi, Ting Pan, Bingfeng Liu, Yiwen Zhang, Xu Zhang, Yuewen Luo, Jin Wang, Meng Zhao, Gen Lu, Kai Deng, Hui Zhang",PLoS Pathog,Two waves of pro-inflammatory factors are released during the influenza A virus (IAV)-driven pulmonary immunopathogenesis,20200226,,Chromium,,,RNA-seq,,,,,,,,,,,,,10.1371/journal.ppat.1008334,1,Zhang et al PLOSPathology,1,
971,Cai et al EBioMedicine,10.1016/j.ebiom.2020.102686,7,,"Single-cell RNA sequencing data were analyzed for seven individuals (2 healthy controls, 2 latent tuberculosis infection, and 3 active tuberculosis) in this study.",Human,,Blood,Blood,1,Healthy controls vs Latent tubercolosis infection vs Active tubercolosis,,"Yi Cai, Youchao Dai, Yejun Wang, Qianqing Yang, Jiubiao Guo, Cailing Wei, Weixin Chen, Huanping Huang, Jialou Zhu, Chi Zhang, Weidong Zheng, Zhihua Wen, Haiying Liu, Mingxia Zhang, Shaojun Xing, Qi Jin, Carl G. Feng, Xinchun Chen",EBioMedicine,Single-cell transcriptomics of blood reveals a natural killer cell subset depletion in tuberculosis,27/02/2020,,Chromium,,,RNA-seq,PBMCs,,,29,,,,,,,,,10.1016/j.ebiom.2020.102686,1,Cai et al EBioMedicine,1,
972,Liao et al medRxiv,10.1101/2020.02.23.20026690,12,,"Single-cell RNA sequencing data were analyzed for a total of 12 donors, including 9 patients with COVID-19 and 3 healthy controls. Source: ""Single-cell landscape of bronchoalveolar immune  cells in patients with COVID-19"" (Supplementary Tables 1 and 2).",Human,"37,820",Lung,Respiratory system,3,,,"Minfeng Liao, Yang Liu, Jin Yuan, Yanling Wen, Gang Xu, Juanjuan Zhao, Lin Chen, Jinxiu Li, Xin Wang, Fuxiang Wang, Lei Liu, Shuye Zhang, Zheng Zhang",medRxiv,The landscape of lung bronchoalveolar immune cells in COVID-19 revealed by single-cell RNA sequencing,27/02/2020,10.1101/2020.02.23.20026690,Chromium,,,RNA-seq,Bronchoalveolar lavage fluid,COVID-19,,36,Yes,Yes,,Yes,,,Nanodroplet dilution,,10.1101/2020.02.23.20026690,1,Liao et al medRxiv,1,
